時間,毛損益,淨損益,累積淨損益,交易成本,滑價,交易稅,平倉權益數,平倉交易K棒數,DD,MDD
2010-01-08 08:45:00,9000.0,8533.884,8533.884,466.11599999999953,400,66.11599999999953,10008533.884,61,17799.811615408973,19599.792565281787
2010-01-12 11:15:00,-2400.0,-2866.176,5667.7080000000005,466.1760000000001,400,66.1760000000001,10005667.707999999,43,10799.87957717396,19599.792565281787
2010-01-13 12:15:00,-21000.0,-21466.02,-15798.312,466.0200000000003,400,66.02000000000032,9984201.688,21,32665.919762141584,35665.886311356575
2010-01-19 11:45:00,2400.0,1933.968,-13864.344,466.03199999999987,400,66.03199999999987,9986135.656,74,33531.70210862796,38131.65081742428
2010-01-21 09:00:00,-16400.0,-16865.816000000003,-30730.160000000003,465.81600000000094,400,65.81600000000094,9969269.84,22,45197.68402854915,47597.657267921146
2010-01-22 09:00:00,-25400.0,-25864.516000000003,-56594.67600000001,464.51600000000326,400,64.51600000000326,9943405.324,6,49862.88800966164,52662.85678892896
2010-01-26 10:15:00,-16200.0,-16662.852000000003,-73257.528,462.8520000000009,400,62.852000000000885,9926742.472,20,87526.06005068851,87726.0578206362
2010-01-28 12:15:00,16200.0,15738.108,-57519.420000000006,461.8920000000003,400,61.89200000000028,9942480.579999998,49,73588.58745903072,93125.99760922318
2010-02-09 10:00:00,49400.0,48940.66,-8578.760000000002,459.3399999999974,400,59.33999999999742,9991421.239999998,172,27799.493348451433,93125.99760922318
2010-02-22 09:00:00,-41400.0,-41860.108,-50438.868,460.10800000000245,400,60.10800000000245,9949561.132,10,43258.02761352323,93125.99760922318
2010-02-22 11:30:00,1200.0,739.28,-49699.588,460.7200000000001,400,60.72000000000006,9950300.411999999,1,82887.7733532632,93125.99760922318
2010-02-23 09:00:00,-14400.0,-14860.352,-64559.94,460.3520000000003,400,60.35200000000032,9935440.059999999,9,86178.75337441474,93125.99760922318
2010-02-25 12:00:00,-25200.0,-25659.663999999997,-90219.60399999999,459.66399999999794,400,59.66399999999794,9909780.395999998,43,110238.43088188874,110238.43088188874
2010-03-04 12:00:00,20200.0,19740.276,-70479.328,459.72399999999993,400,59.72399999999993,9929520.671999998,96,97297.90672558302,132297.26885492838
2010-03-12 09:15:00,24600.0,24138.684,-46340.64399999999,461.31599999999935,400,61.31599999999935,9953659.355999999,107,67758.9210796025,132297.26885492838
2010-03-15 10:15:00,-16800.0,-17261.68,-63602.32399999999,461.6800000000012,400,61.6800000000012,9936397.675999999,20,85020.51848320616,132297.26885492838
2010-03-15 12:45:00,-1200.0,-1661.232,-65263.556,461.232,400,61.23200000000004,9934736.443999998,1,93651.03319025652,132297.26885492838
2010-03-16 13:45:00,-9800.0,-10261.428,-75524.984,461.4279999999994,400,61.42799999999937,9924475.015999999,22,101742.73371709781,132297.26885492838
2010-03-17 12:00:00,-2200.0,-2662.46,-78187.444,462.4600000000001,400,62.46000000000009,9921812.555999998,1,104773.49048103612,132297.26885492838
2010-03-22 09:30:00,-4600.0,-5062.396,-83249.84,462.3959999999997,400,62.395999999999674,9916750.159999998,50,109267.11258395406,132297.26885492838
