時間,DD,MDD
2018-01-30,0.0,0.0
2018-01-31,0.0,0.0
2018-02-01,0.0,0.0
2018-02-02,0.0,0.0
2018-02-05,4214.557600021362,4214.557600021362
2018-02-06,0.0,4214.557600021362
2018-02-07,0.0,4214.557600021362
2018-02-08,0.0,4214.557600021362
2018-02-09,29505.830798378778,29505.830798378778
2018-02-12,24902.169249174454,29505.830798378778
2018-02-21,0.0,29505.830798378778
2018-02-22,9867.242760909983,29505.830798378778
2018-02-23,68532.74061088992,68532.74061088992
2018-02-26,58121.53959505506,68532.74061088992
2018-02-27,84553.5111336176,84553.5111336176
2018-03-01,92982.8642418241,92982.8642418241
2018-03-02,88737.19006669676,92982.8642418241
2018-03-05,82801.64557621983,92982.8642418241
2018-03-06,65278.99031263133,92982.8642418241
2018-03-07,54225.838561663935,92982.8642418241
2018-03-08,82511.66783005017,92982.8642418241
2018-03-09,74708.2666843781,92982.8642418241
2018-03-12,90291.07081757011,92982.8642418241
2018-03-13,98606.43267408837,98606.43267408837
2018-03-14,126060.32578748922,126060.32578748922
2018-03-15,144764.89034854434,144764.89034854434
2018-03-16,133399.7625393643,144764.89034854434
2018-03-19,129330.07485797338,144764.89034854434
2018-03-20,131179.93289483382,144764.89034854434
2018-03-21,135019.63822562163,144764.89034854434
2018-03-22,127808.19165155123,144764.89034854434
2018-03-23,133153.93080485836,144764.89034854434
2018-03-26,133153.93080485836,144764.89034854434
2018-03-27,133153.93080485836,144764.89034854434
2018-03-28,144492.1949556248,144764.89034854434
2018-03-29,173837.9428827454,173837.9428827454
2018-03-30,149613.80190945102,173837.9428827454
2018-04-02,145666.1048664199,173837.9428827454
2018-04-03,157725.17942037247,173837.9428827454
2018-04-09,154135.4549053766,173837.9428827454
2018-04-10,140788.4791885682,173837.9428827454
2018-04-11,155187.3741781844,173837.9428827454
2018-04-12,161916.85773937817,173837.9428827454
2018-04-13,171284.13886870426,173837.9428827454
2018-04-16,167538.4263247883,173837.9428827454
2018-04-17,169558.27131668522,173837.9428827454
2018-04-18,167390.43768216725,173837.9428827454
2018-04-19,138572.64923737347,173837.9428827454
2018-04-20,146060.0746322421,173837.9428827454
2018-04-23,170724.18184155377,173837.9428827454
2018-04-24,132359.1260803617,173837.9428827454
2018-04-25,115910.38840125149,173837.9428827454
2018-04-26,92386.19371180209,173837.9428827454
2018-04-27,88480.49344600279,173837.9428827454
2018-04-30,74203.58909437383,173837.9428827454
2018-05-02,87172.5938175856,173837.9428827454
2018-05-03,108060.9907853843,173837.9428827454
2018-05-04,100247.59040693159,173837.9428827454
2018-05-07,79323.19620171843,173837.9428827454
2018-05-08,82360.96307511789,173837.9428827454
2018-05-09,97467.8037352506,173837.9428827454
2018-05-10,114760.47664860854,173837.9428827454
2018-05-11,117154.29294039383,173837.9428827454
2018-05-14,128525.42028939126,173837.9428827454
2018-05-15,148277.90442991845,173837.9428827454
2018-05-16,166958.47083244898,173837.9428827454
2018-05-17,151427.66270889703,173837.9428827454
2018-05-18,155995.3121750177,173837.9428827454
2018-05-21,143244.2907231467,173837.9428827454
2018-05-22,142650.33630469092,173837.9428827454
2018-05-23,169720.2588850502,173837.9428827454
2018-05-24,164226.68047744478,173837.9428827454
2018-05-25,153717.48698140227,173837.9428827454
2018-05-28,163866.70810255536,173837.9428827454
2018-05-29,164940.62568740617,173837.9428827454
2018-05-30,174033.9278424157,174033.9278424157
2018-05-31,169304.29080755753,174033.9278424157
2018-06-01,140716.4847137393,174033.9278424157
2018-06-04,151473.65917909212,174033.9278424157
2018-06-05,166296.52163212758,174033.9278424157
2018-06-06,198378.05960758816,198378.05960758816
2018-06-07,196500.20371923986,198378.05960758816
2018-06-08,216842.64258525957,216842.64258525957
2018-06-11,226825.87644471187,226825.87644471187
2018-06-12,207761.33950913989,226825.87644471187
2018-06-13,206323.44985680885,226825.87644471187
2018-06-14,205435.51799884767,226825.87644471187
2018-06-15,211119.081827051,226825.87644471187
2018-06-19,179275.52558812007,226825.87644471187
2018-06-20,193972.39771020497,226825.87644471187
2018-06-21,157319.21057528793,226825.87644471187
2018-06-22,161968.8537490182,226825.87644471187
2018-06-25,164694.6445645775,226825.87644471187
2018-06-26,156337.28593082738,226825.87644471187
